CZ;naics;emp
38300;3131;10
38300;3132;970
38300;3133;2635
38300;3141;2271
38300;3149;1175
38300;3151;297
38300;3152;19146
38300;3159;647
38300;3161;8
38300;3162;250
38300;3169;1182
38300;3211;72
38300;3212;253
38300;3219;2373
38300;3221;277
38300;3222;6714
38300;3231;12502
38300;3241;5363
38300;3251;1489
38300;3252;897
38300;3253;286
38300;3254;10629
38300;3255;1437
38300;3256;5260
38300;3259;1662
38300;3261;12246
38300;3262;4330
38300;3271;292
38300;3272;3065
38300;3273;1667
38300;3274;151
38300;3279;1016
38300;3311;33
38300;3312;1004
38300;3313;1035
38300;3314;1196
38300;3315;2544
38300;3321;3283
38300;3322;949
38300;3323;6874
38300;3324;1228
38300;3325;1740
38300;3326;848
38300;3327;14102
38300;3328;6280
38300;3329;6299
38300;3331;400
38300;3332;1558
38300;3333;1777
38300;3334;785
38300;3335;2869
38300;3336;2006
38300;3339;4281
38300;3341;332
38300;3342;8210
38300;3343;432
38300;3344;9024
38300;3345;15595
38300;3346;531
38300;3351;2320
38300;3352;908
38300;3353;2025
38300;3359;3075
38300;3361;477
38300;3362;1962
38300;3363;5814
38300;3364;28290
38300;3366;160
38300;3369;555
38300;3371;6854
38300;3372;2728
38300;3379;1608
38300;3391;7854
38300;3399;7542
37200;3114;109
37200;3118;157
37200;3119;273
37200;3121;397
37200;3222;353
37200;3231;23
37200;3261;136
37200;3273;131
37200;3279;239
37200;3323;130
37200;3327;40
37200;3328;44
37200;3331;121
37200;3371;35
37800;3115;179
37800;3118;164
37800;3119;181
37800;3121;66
37800;3141;82
37800;3149;14
37800;3152;104
37800;3219;19
37800;3231;98
37800;3254;2161
37800;3255;7
37800;3256;174
37800;3271;177
37800;3273;32
37800;3323;19
37800;3327;62
37800;3335;25
37800;3345;25
37800;3371;59
37800;3372;9
37800;3391;110
37800;3399;57
37000;3399;10
37700;3121;1047
37700;3211;355
37700;3219;222
37700;3231;15
37700;3323;169
37700;3391;16
37700;3399;5
37000;3111;82
37000;3114;2026
37000;3115;1987
37000;3116;2863
37000;3118;21
37000;3119;525
37000;3219;16
37000;3222;133
37000;3231;588
37000;3261;361
37000;3273;165
37000;3323;216
37000;3327;130
37000;3331;60
37000;3362;170
37000;3371;74
37000;3391;18
37903;3121;75
37500;3113;205
37500;3114;347
37500;3118;559
37500;3119;4568
37500;3121;895
37500;3149;32
37500;3219;158
37500;3222;327
37500;3231;122
37500;3253;24
37500;3262;137
37500;3273;63
37500;3323;108
37500;3327;225
37500;3329;17
37500;3331;64
37500;3339;39
37500;3344;93
37500;3345;308
37500;3364;30
37500;3371;52
37500;3391;16
37500;3399;70
37800;3113;137
37800;3118;74
37800;3119;38
37800;3121;9078
37800;3219;267
37800;3231;519
37800;3261;130
37800;3273;197
37800;3323;69
37800;3327;35
37800;3329;242
37800;3332;23
37800;3371;19
37800;3391;78
37800;3399;15
37400;3113;15
37400;3118;81
37400;3121;117
37400;3219;67
37400;3231;41
37400;3254;16
37400;3256;15
37400;3261;5
37400;3273;93
37400;3323;50
37400;3327;65
37400;3331;46
37400;3342;329
37400;3345;43
37400;3363;39
37400;3371;24
37400;3391;49
37400;3399;39
38300;3111;69
38300;3112;579
38300;3113;186
38300;3114;477
38300;3115;657
38300;3116;228
38300;3118;3969
38300;3119;2440
38300;3121;1734
38300;3122;33
38300;3132;208
38300;3133;330
38300;3141;411
38300;3149;1246
38300;3151;148
38300;3152;1519
38300;3159;40
38300;3161;6
38300;3162;91
38300;3169;359
38300;3212;199
38300;3219;955
38300;3221;349
38300;3222;1675
38300;3231;6887
38300;3241;70
38300;3251;204
38300;3252;1171
38300;3253;16
38300;3254;6558
38300;3255;983
38300;3256;1401
38300;3259;324
38300;3261;6896
38300;3262;856
38300;3271;86
38300;3272;633
38300;3273;1528
38300;3274;11
38300;3279;656
38300;3311;37
38300;3313;248
38300;3314;338
38300;3315;647
38300;3321;1788
38300;3322;174
38300;3323;2812
38300;3324;181
38300;3325;219
38300;3326;334
38300;3327;10407
38300;3328;3385
38300;3329;3106
38300;3331;419
38300;3332;678
38300;3333;1891
38300;3334;818
38300;3335;1828
38300;3336;550
38300;3339;2776
38300;3341;1153
38300;3342;1877
38300;3343;627
38300;3344;9112
38300;3345;5475
38300;3346;149
38300;3351;1334
38300;3352;69
38300;3353;3046
38300;3359;3362
38300;3361;24
38300;3362;373
38300;3363;2289
38300;3364;8024
38300;3366;63
38300;3369;521
38300;3371;2920
38300;3372;1686
38300;3379;662
38300;3391;21930
38300;3399;4570
37400;3118;61
37400;3119;309
37400;3121;410
37400;3133;6
37400;3149;23
37400;3152;12
37400;3169;20
37400;3219;221
37400;3231;162
37400;3254;127
37400;3255;75
37400;3261;58
37400;3273;31
37400;3321;14
37400;3323;373
37400;3327;205
37400;3328;51
37400;3332;148
37400;3333;108
37400;3335;153
37400;3339;143
37400;3344;290
37400;3345;175
37400;3359;281
37400;3371;74
37400;3372;19
37400;3391;109
37400;3399;62
37603;3121;15
38300;3111;117
38300;3113;35
38300;3114;551
38300;3115;255
38300;3116;411
38300;3118;976
38300;3119;1015
38300;3121;2442
38300;3133;62
38300;3141;39
38300;3149;220
38300;3152;37
38300;3169;11
38300;3211;15
38300;3212;606
38300;3219;2022
38300;3222;706
38300;3231;1092
38300;3241;114
38300;3251;164
38300;3252;561
38300;3253;31
38300;3254;196
38300;3255;80
38300;3256;501
38300;3259;303
38300;3261;4832
38300;3262;245
38300;3271;232
38300;3272;335
38300;3273;1686
38300;3279;1054
38300;3311;101
38300;3312;73
38300;3314;78
38300;3315;168
38300;3321;205
38300;3322;137
38300;3323;2260
38300;3324;504
38300;3325;129
38300;3326;278
38300;3327;1809
38300;3328;307
38300;3329;1741
38300;3331;164
38300;3332;309
38300;3333;594
38300;3334;260
38300;3335;290
38300;3339;1256
38300;3342;365
38300;3344;1352
38300;3345;1726
38300;3346;12
38300;3351;25
38300;3352;170
38300;3353;111
38300;3359;466
38300;3362;1687
38300;3363;1439
38300;3364;1261
38300;3366;15
38300;3369;317
38300;3371;828
38300;3372;615
38300;3379;487
38300;3391;1912
38300;3399;2424
37400;3113;83
37400;3115;175
37400;3116;111
37400;3118;1038
37400;3119;1497
37400;3121;1370
37400;3133;75
37400;3149;67
37400;3152;27
37400;3212;187
37400;3219;1061
37400;3222;701
37400;3231;1117
37400;3241;58
37400;3251;310
37400;3254;677
37400;3255;62
37400;3256;79
37400;3259;18
37400;3261;1067
37400;3272;233
37400;3273;637
37400;3279;189
37400;3312;43
37400;3323;851
37400;3324;80
37400;3327;471
37400;3328;118
37400;3329;90
37400;3333;42
37400;3335;154
37400;3339;54
37400;3341;9
37400;3344;639
37400;3345;319
37400;3351;37
37400;3353;433
37400;3359;287
37400;3362;31
37400;3363;527
37400;3364;1229
37400;3369;23
37400;3371;268
37400;3372;56
37400;3379;29
37400;3391;1227
37400;3399;826
37500;3118;33
37500;3121;451
37500;3219;55
37500;3273;217
37500;3339;170
38300;3111;226
38300;3112;688
38300;3113;531
38300;3114;1329
38300;3115;334
38300;3116;795
38300;3118;2055
38300;3119;1688
38300;3121;992
38300;3132;255
38300;3141;82
38300;3149;162
38300;3152;106
38300;3159;18
38300;3169;17
38300;3211;186
38300;3212;147
38300;3219;1622
38300;3222;1604
38300;3231;1084
38300;3241;410
38300;3251;584
38300;3252;348
38300;3253;147
38300;3254;882
38300;3255;224
38300;3256;873
38300;3259;476
38300;3261;4377
38300;3262;523
